,Dominant_Topic,Perc_Contribution
245,1.0,0.8029999732971191
246,4.0,0.9711999893188477
247,0.0,0.05000000074505806
248,1.0,0.7275000214576721
249,14.0,0.8858000040054321
250,1.0,0.7839999794960022
251,4.0,0.6833000183105469
252,10.0,0.864300012588501
253,4.0,0.864300012588501
254,8.0,0.4194999933242798
255,4.0,0.967199981212616
256,8.0,0.920799970626831
257,11.0,0.6958000063896179
258,4.0,0.5217000246047974
259,18.0,0.6100000143051147
260,3.0,0.9472000002861023
261,14.0,0.8539999723434448
262,19.0,0.9269000291824341
263,18.0,0.5295000076293945
264,18.0,0.3714999854564667
265,17.0,0.7986000180244446
266,6.0,0.6747000217437744
267,19.0,0.4620000123977661
268,12.0,0.9524999856948853
269,4.0,0.9711999893188477
270,7.0,0.37380000948905945
271,18.0,0.84170001745224
272,19.0,0.5401999950408936
273,12.0,0.8740000128746033
274,9.0,0.864300012588501
275,15.0,0.3788999915122986
276,3.0,0.5825999975204468
277,3.0,0.9136000275611877
278,10.0,0.5590000152587891
279,5.0,0.31610000133514404
280,10.0,0.7182000279426575
281,15.0,0.6031000018119812
282,12.0,0.4957999885082245
283,4.0,0.7167999744415283
284,18.0,0.5295000076293945
285,12.0,0.8100000023841858
286,14.0,0.5181999802589417
287,18.0,0.864300012588501
288,10.0,0.4431999921798706
289,4.0,0.864300012588501
290,8.0,0.6811000108718872
291,4.0,0.6148999929428101
292,6.0,0.9049999713897705
293,1.0,0.817300021648407
294,12.0,0.9524999856948853
295,4.0,0.7386000156402588
296,4.0,0.762499988079071
297,18.0,0.6100000143051147
298,18.0,0.631600022315979
299,18.0,0.5907999873161316
300,8.0,0.661300003528595
301,1.0,0.7099000215530396
302,9.0,0.864300012588501
303,8.0,0.6811000108718872
304,7.0,0.4244000017642975
305,15.0,0.46650001406669617
306,3.0,0.5521000027656555
307,18.0,0.8812000155448914
308,9.0,0.7924000024795532
309,12.0,0.920799970626831
310,10.0,0.864300012588501
311,7.0,0.6571999788284302
312,1.0,0.621999979019165
313,13.0,0.6229000091552734
314,4.0,0.4959999918937683
315,15.0,0.8100000023841858
316,6.0,0.4016999900341034
317,18.0,0.9136000275611877
318,14.0,0.5591999888420105
319,8.0,0.5321999788284302
320,17.0,0.8944000005722046
321,13.0,0.4293000102043152
322,10.0,0.6858999729156494
323,14.0,0.6040999889373779
324,9.0,0.920799970626831
325,13.0,0.7409999966621399
326,8.0,0.5558000206947327
327,18.0,0.8812000155448914
328,16.0,0.5557000041007996
329,11.0,0.9049999713897705
330,2.0,0.8812000155448914
331,18.0,0.8051999807357788
332,10.0,0.626800000667572
333,10.0,0.8172000050544739
334,17.0,0.5774999856948853
335,9.0,0.5167999863624573
336,17.0,0.8468000292778015
337,18.0,0.5722000002861023
338,15.0,0.504800021648407
339,13.0,0.6194000244140625
340,11.0,0.4683000147342682
341,18.0,0.5131999850273132
342,18.0,0.8033999800682068
343,18.0,0.864300012588501
344,4.0,0.4648999869823456
345,19.0,0.3758000135421753
346,1.0,0.45190000534057617
347,18.0,0.5141000151634216
348,4.0,0.57669997215271
349,3.0,0.9405999779701233
350,18.0,0.7032999992370605
351,11.0,0.45019999146461487
352,7.0,0.2800999879837036
353,7.0,0.5360999703407288
354,2.0,0.8539999723434448
355,17.0,0.9136000275611877
356,17.0,0.38429999351501465
357,7.0,0.4641000032424927
358,12.0,0.6467999815940857
359,3.0,0.8812000155448914
360,16.0,0.9136000275611877
361,17.0,0.7660999894142151
362,14.0,0.7578999996185303
363,1.0,0.43299999833106995
364,0.0,0.864300012588501
365,4.0,0.6347000002861023
366,0.0,0.7534000277519226
367,13.0,0.241799995303154
368,18.0,0.8100000023841858
369,5.0,0.9049999713897705
370,5.0,0.7296000123023987
371,9.0,0.864300012588501
372,4.0,0.35040000081062317
373,18.0,0.8812000155448914
374,4.0,0.8475000262260437
375,18.0,0.3614000082015991
376,18.0,0.673799991607666
377,12.0,0.944100022315979
378,7.0,0.5343999862670898
379,0.0,0.28519999980926514
380,9.0,0.6427000164985657
381,4.0,0.6301000118255615
382,9.0,0.6639000177383423
383,5.0,0.512499988079071
384,15.0,0.84170001745224
385,18.0,0.8100000023841858
386,11.0,0.5013999938964844
387,9.0,0.864300012588501
388,1.0,0.567799985408783
389,4.0,0.7355999946594238
390,18.0,0.864300012588501
391,10.0,0.5641999840736389
392,17.0,0.43299999833106995
393,7.0,0.607200026512146
394,9.0,0.864300012588501
395,18.0,0.864300012588501
396,8.0,0.920799970626831
397,10.0,0.5593000054359436
398,7.0,0.7166000008583069
399,14.0,0.4578999876976013
400,15.0,0.8485000133514404
401,19.0,0.9269000291824341
402,1.0,0.4832000136375427
403,4.0,0.4952999949455261
404,17.0,0.5716000199317932
405,4.0,0.3116999864578247
406,10.0,0.47540000081062317
407,18.0,0.7634000182151794
408,18.0,0.5400000214576721
409,16.0,0.5008999705314636
410,12.0,0.5415999889373779
411,3.0,0.5149000287055969
412,13.0,0.554099977016449
413,19.0,0.3594000041484833
414,17.0,0.9136000275611877
415,12.0,0.6621999740600586
416,8.0,0.920799970626831
417,17.0,0.5791000127792358
